angle_of_attack,lift_coefficient,drag_coefficient,side_coefficient
-0.17453292519943295,-0.7403758363281996,0.08428844613016592,5.733337373445973e-17
-0.15764264211561685,-0.6508409749269177,0.0770439152202906,3.6098790869845014e-17
-0.14075235903180078,-0.5614168121246497,0.07062480961851896,1.6593309752777498e-16
-0.12386207594798467,-0.47155426551400315,0.06515530224541745,1.340812232308529e-16
-0.1069717928641686,-0.38208636764459386,0.06050834456147455,5.384483512098731e-17
-0.0900815097803525,-0.2926085416095281,0.056808310442433514,1.0427696942444726e-16
-0.0731912266965364,-0.20374098852886824,0.05390872835583193,3.983380232013886e-17
-0.056300943612720304,-0.1152248905542813,0.05195474571873918,6.878488092216266e-17
-0.03941066052890421,-0.027480911552608143,0.05073509910657984,4.3834246056240374e-17
-0.022520377445088103,0.0595514568382225,0.05046114709240782,4.368257046435027e-17
-0.005630094361272026,0.14575722733744584,0.05083030046926245,3.488538613472417e-17
0.011260188722544051,0.2308353231670125,0.05211606046771245,3.4582034950943966e-17
0.02815047180636016,0.315039240760845,0.05398601019504444,2.5481499437537658e-17
0.04504075489017627,0.3977697468793621,0.056653408357423767,-2.912171364290018e-17
0.061931037973992346,0.4794559283298724,0.05990079237759134,1.9414475761933446e-17
0.07882132105780842,0.5594178193071845,0.06384941117392352,-7.523109357749214e-17
0.09571160414162454,0.638076198161571,0.06838399571362978,-1.2740749718768829e-17
0.11260188722544064,0.7148041211668109,0.07356021006197756,-1.8140400790056571e-16
0.12949217030925675,0.7899992698469018,0.07929203872546502,-4.368257046435027e-17
0.1463824533930728,0.8630632093671868,0.08561518798962126,2.790830890777934e-17
0.1632727364768889,0.9342799175017475,0.09245143695492677,-6.55238556965254e-17
0.180163019560705,1.003288940616228,0.09979437554469041,-2.608820180509808e-16
0.19705330264452106,1.0699154282509677,0.10758614636139384,8.493833145845886e-18
0.2139435857283372,1.134320076577561,0.11579147763046099,-2.5117478017001404e-16
0.23083386881215326,1.1956819652669401,0.12433219328294662,-1.516755918901051e-16
0.24772415189596939,1.2543701194696386,0.13316110472885995,-2.5724180384561826e-16
0.2646144349797855,1.3099672775603053,0.14221710352246408,-2.9971096957484767e-16
0.28150471806360156,1.3615809304937891,0.15136499660497335,-1.8807773394373036e-16
0.2983950011474176,1.335542604620939,0.15622041198878336,-8.493833145845886e-17
0.31528528423123375,1.3161184238673438,0.1616042673020814,-8.857854566382138e-17
0.3321755673150498,1.3459491574733242,0.16723643786683323,-2.1355923338126798e-16
0.3490658503988659,1.325446692148836,0.17213063850566285,-3.2276565954214366e-16
